weight,age,height
58,30,165.1
63,24,170.18
52,50,162.56
65,31,167.64
70,32,172.72
58,31,172.72
67,29,172.72
58,36,162.56
52,24,160.02
54,24,152.4
52,28,162.56
58,35,170.18
70,37,170.18
49,25,165.1
62,30,167.64
74,31,162.56
56,52,157.48
69,37,167.64
74,37,170.18
58,35,160.02
55,24,175.26
62,42,162.56
65,30,167.64
65,30,165.1
57,20,170.18
56,48,165.1
58,31,170.18
61,32,170.18
61,36,175.26
52,42,162.56
58,33,165.1
74,36,175.26
56,25,167.64
63,51,162.56
52,26,157.48
63,27,165.1
65,29,167.64
61,34,165.1
52,55,157.48
78,37,175.26
52,27,162.56
68,33,160.02
56,47,160.02
65,29,172.72
64,17,162.56
77,48,167.64
56,32,162.56
50,31,162.56
63,39,157.48
65,28,172.72
56,43,170.18
49,44,154.94
63,35,170.18
57,35,162.56
56,20,167.64
56,26,167.64
54,28,167.64
64,27,165.1
90,39,167.64
68,37,165.1
56,38,167.64
54,46,162.56
56,28,160.02
63,27,172.72
61,45,172.72
47,26,157.48
49,26,162.56
61,29,165.1
68,28,
58,29,165.1
48,34,165.1
56,29,170.18
104,34,162.56
58,32,165.1
54,28,170.18
54,47,165.1
62,33,170.18
65,28,165.1
54,49,154.94
55,33,162.56
63,25,162.56
58,28,167.64
48,26,154.94
52,29,157.48
61,34,170.18
54,27,165.1
54,35,157.48
63,37,165.1
56,45,160.02
61,32,154.94
68,38,172.72
63,50,177.8
71,23,162.56
72,43,170.18
63,39,175.26
79,31,165.1
58,41,162.56
55,29,172.72
86,29,175.26
72,36,172.72
54,34,167.64
55,28,167.64
52,31,162.56
65,38,165.1
72,39,160.02
70,33,170.18
58,32,160.02
65,32,167.64
49,41,154.94
49,40,154.94
65,29,162.56
48,34,160.02
88,28,172.72
54,22,162.56
60,26,157.48
53,40,162.56
53,30,167.64
53,30,170.18
56,50,160.02
61,26,162.56
83,29,154.94
52,40,157.48
70,39,160.02
49,37,167.64
54,44,165.1
61,25,165.1
56,40,160.02
63,34,160.02
95,28,167.64
65,29,160.02
56,35,167.64
58,30,172.72
53,38,157.48
61,20,165.1
47,36,160.02
61,41,167.64
63,38,165.1
70,37,172.72
69,25,160.02
55,23,172.72
52,33,165.1
65,35,160.02
72,36,165.1
63,55,167.64
68,36,172.72
54,33,175.26
68,26,162.56
56,32,157.48
61,31,157.48
51,25,162.56
51,35,160.02
61,26,157.48
56,50,157.48
72,46,157.48
70,28,162.56
63,37,160.02
53,35,160.02
92,23,182.88
74,33,162.56
78,38,172.72
63,31,172.72
54,23,154.94
53,39,162.56
54,35,157.48
49,43,172.72
55,29,157.48
58,49,167.64
72,29,170.18
63,46,170.18
56,29,162.56
52,31,162.56
47,34,149.86
63,60,167.64
79,33,177.8
70,24,165.1
65,37,157.48
52,35,167.64
52,37,162.56
58,35,165.1
52,31,157.48
61,30,154.94
56,30,165.1
55,27,170.18
52,31,165.1
54,31,172.72
60,28,170.18
49,37,170.18
61,40,167.64
68,32,170.18
61,25,162.56
61,29,165.1
58,31,157.48
65,30,170.18
51,29,162.56
58,33,152.4
61,37,185.42
95,29,170.18
77,31,172.72
56,30,167.64
49,36,157.48
60,41,162.56
65,25,180.34
54,29,154.94
59,53,157.48
52,29,162.56
49,26,170.18
81,30,172.72
52,31,162.56
56,37,170.18
58,34,157.48
65,36,180.34
83,22,167.64
72,30,162.56
58,37,157.48
68,29,175.26
54,29,160.02
83,35,167.64
73,45,154.94
72,39,172.72
58,38,157.48
58,33,167.64
84,30,177.8
58,37,167.64
61,27,177.8
58,31,162.56
61,28,170.18
53,36,165.1
56,35,165.1
57,29,162.56
66,34,175.26
51,38,157.48
76,28,175.26
86,33,167.64
67,33,170.18
53,29,175.26
68,36,162.56
64,61,162.56
65,26,170.18
52,26,167.64
63,29,167.64
58,35,157.48
58,45,167.64
65,33,160.02
58,32,162.56
70,21,175.26
63,27,162.56
70,27,167.64
61,32,170.18
61,26,162.56
56,,165.1
56,31,160.02
49,31,172.72
61,31,157.48
44,33,152.4
60,25,165.1
56,28,157.48
64,58,165.1
48,35,157.48
54,26,160.02
54,36,167.64
57,26,167.64
77,51,170.18
56,32,175.26
62,32,167.64
61,29,162.56
65,30,170.18
54,30,157.48
59,26,162.56
64,28,172.72
57,31,172.72
61,34,165.1
56,28,157.48
64,32,167.64
49,38,162.56
61,26,157.48
81,31,167.64
54,35,157.48
61,32,167.64
61,28,162.56
65,37,160.02
58,30,165.1
74,30,162.56
55,31,167.64
54,32,177.8
49,38,160.02
58,27,162.56
58,35,160.02
48,46,160.02
52,25,167.64
74,22,177.8
61,38,172.72
72,34,162.56
63,32,172.72
56,22,162.56
70,39,165.1
58,38,170.18
56,57,170.18
56,36,170.18
54,25,165.1
77,51,165.1
77,35,160.02
61,37,170.18
49,22,152.4
54,45,162.56
53,19,160.02
56,38,172.72
61,25,165.1
56,29,170.18
65,34,165.1
58,22,165.1
65,36,157.48
63,40,162.56
57,39,167.64
68,36,175.26
61,30,162.56
56,31,157.48
58,30,157.48
54,42,170.18
58,27,160.02
77,37,170.18
99,44,175.26
58,33,165.1
61,30,177.8
72,24,172.72
47,31,152.4
86,29,167.64
74,40,167.64
72,38,175.26
74,40,175.26
65,30,175.26
49,33,170.18
58,37,177.8
53,30,160.02
54,25,165.1
83,29,182.88
74,32,165.1
63,27,165.1
65,28,157.48
45,30,162.56
56,35,162.56
65,42,167.64
49,31,157.48
58,36,162.56
90,47,160.02
56,28,170.18
57,40,160.02
65,24,170.18
58,31,167.64
58,32,167.64
61,43,157.48
56,29,160.02
47,35,154.94
48,40,157.48
63,28,172.72
70,29,167.64
54,47,162.56
77,51,157.48
54,31,154.94
54,29,165.1
58,23,154.94
62,34,170.18
64,31,157.48
58,28,170.18
45,25,170.18
48,35,157.48
55,28,160.02
54,29,154.94
61,36,162.56
90,33,172.72
57,27,170.18
56,39,165.1
102,27,170.18
70,58,170.18
68,28,177.8
61,46,165.1
65,38,162.56
58,27,157.48
70,28,162.56
79,29,157.48
68,34,162.56
49,24,167.64
58,36,157.48
68,32,180.34
58,33,162.56
78,33,177.8
55,24,170.18
59,34,162.56
56,21,160.02
60,26,157.48
58,30,157.48
58,30,175.26
77,41,167.64
63,32,170.18
56,33,162.56
65,26,160.02
57,26,162.56
43,34,147.32
56,26,154.94
53,53,160.02
64,37,167.64
90,32,165.1
61,25,160.02
72,58,157.48
81,31,167.64
54,25,160.02
92,38,157.48
48,38,167.64
70,36,165.1
52,32,152.4
52,33,157.48
56,37,175.26
74,31,160.02
56,31,162.56
61,43,165.1
58,38,167.64
54,23,162.56
56,31,157.48
56,26,165.1
63,35,170.18
57,30,162.56
61,27,177.8
61,31,172.72
63,52,165.1
63,35,160.02
40,19,160.02
70,48,175.26
70,33,167.64
68,30,170.18
63,30,165.1
46,36,149.86
56,38,170.18
61,48,170.18
61,30,170.18
54,47,162.56
65,28,165.1
58,30,165.1
65,29,172.72
58,29,165.1
65,29,165.1
55,29,160.02
68,31,165.1
70,31,177.8
63,28,167.64
56,29,172.72
60,37,167.64
52,28,162.56
61,33,165.1
45,29,147.32
79,36,175.26
72,23,185.42
47,40,152.4
68,26,177.8
61,31,162.56
58,23,172.72
64,29,167.64
63,37,170.18
55,29,154.94
58,37,170.18
58,30,160.02
61,30,170.18
58,39,157.48
86,37,167.64
55,33,167.64
54,47,160.02
52,35,167.64
58,30,165.1
68,27,167.64
53,37,157.48
61,30,165.1
79,33,175.26
57,37,160.02
67,26,170.18
56,32,165.1
58,32,152.4
72,32,167.64
68,31,172.72
70,41,170.18
70,32,170.18
68,30,157.48
54,25,162.56
54,38,172.72
54,27,175.26
56,22,165.1
59,28,
52,25,160.02
57,34,162.56
54,29,167.64
53,32,170.18
63,28,160.02
71,28,172.72
74,23,180.34
77,36,175.26
61,30,175.26
52,44,167.64
65,53,177.8
65,47,170.18
61,34,175.26
58,31,170.18
72,28,160.02
56,35,165.1
65,27,167.64
95,33,165.1
79,39,167.64
58,31,167.64
54,20,177.8
55,40,165.1
56,28,165.1
86,27,
65,24,157.48
61,33,160.02
86,49,172.72
61,43,170.18
57,45,160.02
68,49,162.56
50,57,162.56
58,30,160.02
64,28,175.26
65,31,175.26
46,42,154.94
65,31,175.26
56,25,154.94
65,29,165.1
96,56,165.1
54,38,154.94
67,46,165.1
68,29,157.48
63,36,170.18
62,32,172.72
58,46,162.56
59,33,167.64
52,29,162.56
74,31,162.56
68,42,165.1
58,30,167.64
65,34,162.56
56,35,162.56
108,29,160.02
45,49,162.56
54,35,157.48
54,32,157.48
75,35,160.02
62,30,170.18
52,25,172.72
53,27,154.94
63,29,160.02
73,28,180.34
52,37,152.4
72,28,160.02
56,26,167.64
56,27,160.02
53,34,162.56
61,34,157.48
86,39,170.18
56,55,167.64
77,31,170.18
61,30,160.02
62,34,167.64
58,32,167.64
63,26,170.18
47,30,160.02
45,29,160.02
68,31,170.18
83,36,165.1
49,33,152.4
63,44,167.64
54,51,162.56
97,34,167.64
63,29,172.72
56,35,167.64
55,38,170.18
52,33,157.48
72,35,167.64
61,30,170.18
63,34,157.48
56,31,160.02
56,32,160.02
43,19,160.02
72,32,177.8
58,28,167.64
64,32,172.72
68,28,172.72
61,42,165.1
58,32,162.56
70,31,165.1
58,26,157.48
68,31,167.64
72,36,167.64
56,24,165.1
52,28,170.18
60,37,160.02
54,22,165.1
72,30,162.56
65,30,165.1
50,31,154.94
74,27,154.94
83,35,170.18
71,42,170.18
60,62,157.48
63,29,157.48
58,46,175.26
86,32,170.18
54,23,157.48
70,29,162.56
49,24,160.02
70,36,175.26
51,29,157.48
65,33,167.64
52,38,152.4
63,33,160.02
54,32,147.32
77,46,167.64
74,32,162.56
64,40,162.56
54,33,167.64
58,30,160.02
58,27,167.64
54,37,157.48
55,34,167.64
65,28,172.72
61,27,162.56
68,35,152.4
61,36,165.1
57,53,170.18
68,34,175.26
70,36,170.18
51,28,154.94
48,43,157.48
58,31,167.64
61,34,160.02
59,32,170.18
58,30,167.64
56,24,167.64
53,28,157.48
61,48,165.1
79,51,162.56
58,34,165.1
56,37,162.56
81,38,175.26
58,33,165.1
56,70,170.18
68,26,165.1
54,30,170.18
81,28,167.64
52,30,157.48
63,35,167.64
46,19,160.02
53,21,170.18
58,39,162.56
65,24,167.64
54,40,162.56
49,61,157.48
65,39,157.48
56,51,165.1
49,27,154.94
65,35,165.1
61,42,177.8
83,25,177.8
49,27,170.18
51,33,160.02
60,25,165.1
62,49,170.18
58,26,172.72
58,28,165.1
72,27,170.18
52,29,170.18
89,54,170.18
61,31,167.64
56,35,157.48
88,24,162.56
65,46,162.56
54,40,162.56
58,33,170.18
72,46,172.72
74,30,165.1
61,32,170.18
63,33,175.26
65,27,160.02
49,21,152.4
83,41,172.72
56,31,170.18
54,28,170.18
58,22,170.18
61,30,165.1
65,38,162.56
63,29,162.56
55,39,157.48
74,26,175.26
55,26,170.18
53,31,160.02
58,33,167.64
49,36,157.48
61,33,160.02
61,30,157.48
79,33,177.8
65,32,162.56
56,32,162.56
68,31,180.34
58,25,165.1
54,31,162.56
58,36,167.64
49,32,157.48
61,39,165.1
70,26,162.56
65,33,152.4
49,26,157.48
74,48,165.1
43,40,152.4
65,30,160.02
57,25,154.94
63,45,157.48
46,28,157.48
54,28,160.02
52,34,160.02
57,33,157.48
58,32,165.1
57,33,172.72
52,27,167.64
62,40,170.18
54,28,162.56
65,28,177.8
61,30,167.64
72,38,172.72
64,25,172.72
74,29,177.8
65,27,175.26
54,23,170.18
54,29,160.02
67,33,165.1
54,16,170.18
95,24,175.26
68,35,167.64
52,42,160.02
63,43,162.56
68,32,165.1
58,27,160.02
58,32,165.1
56,30,167.64
70,32,162.56
51,36,162.56
86,55,162.56
62,34,165.1
49,34,157.48
58,36,165.1
45,33,172.72
56,29,170.18
58,38,167.64
59,50,165.1
53,37,172.72
65,48,170.18
58,34,167.64
74,33,160.02
54,31,160.02
63,,167.64
56,44,157.48
59,30,160.02
73,41,172.72
65,29,175.26
61,50,160.02
53,30,152.4
56,33,157.48
61,42,170.18
56,0,170.18
63,30,162.56
56,27,162.56
47,20,157.48
72,31,175.26
62,32,170.18
65,24,170.18
56,36,162.56
58,26,167.64
58,33,165.1
56,35,170.18
70,41,167.64
56,26,154.94
58,27,160.02
74,37,177.8
74,32,165.1
47,28,167.64
56,29,167.64
77,34,182.88
56,28,162.56
50,25,165.1
72,30,165.1
76,34,162.56
69,33,165.1
56,29,167.64
65,27,157.48
68,46,170.18
68,50,160.02
58,45,172.72
62,50,170.18
58,32,165.1
74,29,170.18
61,37,165.1
57,33,167.64
47,43,157.48
61,27,167.64
53,37,170.18
63,26,165.1
56,35,167.64
55,29,167.64
54,33,162.56
61,25,165.1
58,51,167.64
72,31,165.1
56,44,162.56
54,27,165.1
61,30,172.72
68,31,175.26
47,54,154.94
62,53,170.18
58,38,154.94
48,27,170.18
65,30,167.64
54,28,172.72
53,36,167.64
64,32,172.72
63,25,162.56
63,33,177.8
58,36,170.18
68,25,162.56
61,33,162.56
56,32,162.56
58,33,157.48
61,46,162.56
49,57,154.94
58,40,172.72
68,26,175.26
88,33,185.42
60,39,180.34
57,40,162.56
70,31,170.18
54,22,167.64
58,29,170.18
56,32,157.48
71,37,165.1
45,35,160.02
58,42,162.56
47,42,157.48
61,46,165.1
56,57,175.26
63,41,165.1
74,36,172.72
49,30,157.48
74,33,160.02
54,22,165.1
83,23,170.18
62,36,165.1
56,47,162.56
53,41,157.48
48,27,154.94
71,38,165.1
49,22,157.48
68,26,170.18
55,30,167.64
58,29,162.56
68,22,162.56
88,53,157.48
58,57,152.4
65,33,170.18
68,46,177.8
63,38,162.56
47,28,152.4
56,39,170.18
61,42,160.02
49,32,157.48
57,36,162.56
61,37,162.56
65,37,152.4
60,22,172.72
59,36,154.94
81,29,165.1
68,35,162.56
61,28,167.64
81,28,180.34
61,31,162.56
63,64,162.56
56,36,165.1
54,37,165.1
54,36,160.02
68,24,165.1
46,48,152.4
54,47,175.26
49,29,162.56
59,35,175.26
50,37,154.94
63,26,157.48
65,39,162.56
54,50,165.1
54,31,152.4
61,38,157.48
54,58,162.56
63,33,157.48
72,43,165.1
62,26,167.64
77,30,167.64
68,27,165.1
56,46,149.86
74,40,167.64
53,57,152.4
61,31,160.02
51,27,160.02
56,53,170.18
56,27,170.18
68,48,180.34
53,31,177.8
52,20,167.64
58,31,165.1
56,36,170.18
54,28,162.56
63,35,172.72
58,34,165.1
61,23,165.1
65,27,175.26
56,29,160.02
56,47,160.02
57,32,167.64
54,29,167.64
68,37,165.1
58,26,165.1
56,33,157.48
56,38,160.02
68,32,165.1
56,35,160.02
53,27,160.02
57,34,167.64
68,33,180.34
52,29,170.18
56,27,165.1
63,27,170.18
74,39,162.56
74,29,180.34
73,42,162.56
72,32,167.64
72,27,165.1
65,27,177.8
70,43,180.34
58,26,162.56
58,33,165.1
86,42,170.18
54,30,160.02
56,31,160.02
56,29,170.18
72,43,162.56
61,42,160.02
68,31,175.26
54,29,157.48
63,30,170.18
54,34,157.48
57,30,160.02
56,38,165.1
50,42,152.4
61,34,175.26
49,39,162.56
70,36,170.18
78,30,180.34
50,30,162.56
56,41,172.72
54,31,157.48
58,40,167.64
58,31,170.18
53,41,167.64
63,21,160.02
58,28,170.18
54,25,149.86
49,25,162.56
53,36,152.4
58,40,160.02
43,30,152.4
65,37,172.72
52,37,157.48
56,30,165.1
83,33,160.02
56,33,167.64
63,26,157.48
72,32,172.72
72,27,172.72
63,27,172.72
74,22,180.34
63,30,165.1
52,28,154.94
81,30,160.02
48,25,157.48
56,32,157.48
54,31,162.56
58,40,162.56
51,32,167.64
56,41,162.56
51,37,160.02
68,30,177.8
72,49,170.18
63,28,165.1
63,27,167.64
64,30,167.64
53,34,157.48
58,35,165.1
58,29,175.26
64,25,162.56
63,21,167.64
65,29,167.64
58,34,160.02
63,32,175.26
49,30,160.02
61,32,162.56
52,31,152.4
55,29,154.94
86,41,162.56
68,59,177.8
58,54,162.56
53,36,157.48
54,29,160.02
53,33,162.56
59,52,172.72
63,38,180.34
56,34,157.48
56,32,175.26
72,28,152.4
56,38,154.94
68,37,175.26
56,,157.48
61,35,170.18
47,52,157.48
58,29,162.56
61,42,162.56
45,24,162.56
68,31,
60,43,170.18
54,28,167.64
72,57,177.8
65,51,160.02
90,37,162.56
68,33,172.72
65,26,172.72
74,40,175.26
68,34,170.18
56,32,160.02
58,37,162.56
81,37,170.18
72,31,180.34
56,34,165.1
62,31,160.02
61,31,165.1
55,33,167.64
58,41,157.48
63,44,167.64
61,30,172.72
63,30,180.34
70,33,175.26
77,34,182.88
58,35,165.1
53,37,157.48
61,33,177.8
58,28,165.1
58,32,167.64
59,32,160.02
68,31,167.64
63,25,177.8
58,47,160.02
72,30,167.64
56,27,172.72
72,30,165.1
68,35,165.1
59,38,167.64
50,52,162.56
70,26,170.18
61,31,165.1
58,31,162.56
49,31,157.48
61,35,177.8
56,35,170.18
56,32,165.1
56,30,177.8
68,44,175.26
62,48,167.64
86,34,175.26
53,28,162.56
56,51,165.1
65,30,165.1
65,34,160.02
70,31,180.34
61,45,167.64
62,38,170.18
47,39,154.94
54,32,162.56
65,29,162.56
61,29,167.64
49,26,154.94
62,33,172.72
63,29,162.56
53,35,167.64
56,26,170.18
71,34,162.56
72,30,175.26
79,29,177.8
45,59,162.56
57,34,162.56
54,34,162.56
70,28,177.8
61,45,167.64
55,33,162.56
65,49,165.1
63,32,162.56
50,22,162.56
59,31,165.1
65,34,162.56
57,49,165.1
58,37,165.1
48,33,162.56
63,29,165.1
59,29,162.56
61,32,170.18
61,43,177.8
61,32,165.1
63,34,172.72
52,33,160.02
60,32,172.72
47,23,162.56
63,33,172.72
81,28,175.26
54,33,170.18
54,33,160.02
58,24,165.1
63,49,170.18
64,28,167.64
47,43,157.48
49,34,160.02
68,20,157.48
65,31,160.02
65,31,167.64
61,34,167.64
63,29,172.72
63,24,167.64
56,28,160.02
59,30,167.64
58,29,177.8
56,33,160.02
51,33,162.56
61,36,175.26
64,27,160.02
62,48,165.1
69,44,170.18
72,40,180.34
55,29,162.56
60,29,165.1
58,26,162.56
55,29,167.64
47,29,160.02
55,28,157.48
77,42,175.26
68,26,162.56
48,39,154.94
61,29,162.56
50,26,157.48
54,39,162.56
45,36,157.48
79,25,160.02
61,35,157.48
49,29,157.48
56,31,175.26
74,56,160.02
72,29,154.94
50,64,165.1
65,30,177.8
69,35,157.48
63,47,172.72
54,21,160.02
68,44,157.48
63,31,165.1
56,35,162.56
49,24,167.64
56,27,149.86
65,27,165.1
79,59,175.26
63,24,162.56
108,33,182.88
61,40,162.56
54,51,167.64
54,22,172.72
63,27,160.02
61,48,170.18
49,42,162.56
56,28,154.94
56,21,167.64
63,33,170.18
54,35,170.18
58,31,162.56
81,44,180.34
57,33,170.18
56,29,167.64
49,32,160.02
88,29,165.1
66,32,172.72
57,29,157.48
63,27,167.64
65,44,170.18
58,30,167.64
55,28,152.4
65,32,175.26
63,29,170.18
68,59,165.1
54,20,162.56
65,37,175.26
61,26,170.18
53,48,162.56
72,32,175.26
58,45,172.72
58,63,170.18
65,30,170.18
63,55,167.64
68,27,162.56
72,39,167.64
72,37,165.1
65,32,162.56
68,,170.18
58,26,162.56
68,29,180.34
62,47,170.18
68,31,165.1
58,32,165.1
49,31,162.56
68,37,167.64
63,35,172.72
68,62,167.64
56,31,160.02
63,29,160.02
49,36,152.4
48,29,162.56
63,31,175.26
79,40,162.56
68,33,172.72
61,25,167.64
68,24,170.18
56,36,165.1
58,30,162.56
52,28,157.48
97,31,175.26
58,40,165.1
61,46,177.8
54,36,175.26
58,27,160.02
62,28,154.94
63,40,165.1
60,28,160.02
58,30,154.94
64,61,162.56
55,34,162.56
65,39,157.48
52,32,157.48
74,29,177.8
72,44,160.02
